# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=90.0, drift_stream=MIXEDGenerator(balance_classes=False, classification_function=1, random_state=112), position=2000, random_state=112, stream=MIXEDGenerator(balance_classes=False, classification_function=0, random_state=112), width=1)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffffb2d558b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_mixed_g_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
40790,0.863325,0.940000,0.876700,0.875000,8.858398,112.510742
40990,0.863505,0.900000,0.876471,0.830000,8.858398,123.686523
41190,0.863878,0.940000,0.876610,0.905000,8.858398,128.932617
41390,0.864102,0.910000,0.876578,0.870000,8.858398,145.307617
41590,0.864130,0.870000,0.876304,0.820000,8.858398,134.413086
41790,0.864423,0.925000,0.876418,0.900000,8.858398,124.202148
41990,0.864593,0.900000,0.876603,0.915000,8.858398,115.471680
42190,0.864810,0.910000,0.876857,0.930000,8.858398,113.827148
42390,0.865142,0.935000,0.876801,0.865000,8.858398,114.651367
42590,0.865236,0.885000,0.876910,0.900000,8.858398,119.659180
42790,0.865587,0.940000,0.877136,0.925000,8.858398,122.416992
42990,0.865888,0.930000,0.877173,0.885000,8.858398,131.428711
43190,0.866256,0.945000,0.877256,0.895000,8.858398,131.338867
43390,0.866551,0.930000,0.877014,0.825000,8.858398,115.842773
43590,0.866774,0.915000,0.877120,0.900000,8.858398,109.174805
43790,0.867018,0.920000,0.877248,0.905000,8.858398,110.225586
43990,0.867169,0.900000,0.877100,0.845000,8.858398,119.913086
44190,0.867386,0.915000,0.877273,0.915000,8.858398,128.389648
44390,0.867534,0.900000,0.877195,0.860000,8.858398,127.666992
44590,0.867748,0.915000,0.877162,0.870000,8.858398,107.456055
44790,0.867960,0.915000,0.877018,0.845000,8.858398,130.194336
44990,0.868214,0.925000,0.877098,0.895000,8.858398,127.288086
45190,0.868422,0.915000,0.877289,0.920000,8.858398,124.276367
45390,0.868540,0.895000,0.877190,0.855000,8.858398,117.198242
45590,0.868767,0.920000,0.877225,0.885000,8.858398,142.440430
45790,0.868991,0.920000,0.877281,0.890000,8.858398,141.682617
45990,0.869170,0.910000,0.877445,0.915000,8.858398,146.581055
46190,0.869304,0.900000,0.877543,0.900000,8.858398,142.674805
46390,0.869675,0.955000,0.877749,0.925000,8.858398,142.846680
46590,0.869828,0.905000,0.877845,0.900000,8.858398,120.073242
46790,0.869893,0.885000,0.877768,0.860000,8.858398,136.948242
46990,0.870128,0.925000,0.877821,0.890000,8.858398,115.827148
47190,0.870298,0.910000,0.877766,0.865000,8.858398,117.624023
47390,0.870508,0.920000,0.877712,0.865000,8.858398,114.385742
47590,0.870654,0.905000,0.877658,0.865000,8.858398,117.018555
47790,0.870861,0.920000,0.877542,0.850000,8.858398,129.163086
47990,0.871025,0.910000,0.877636,0.900000,8.858398,114.260742
48190,0.871333,0.945000,0.877750,0.905000,8.858398,105.377930
48390,0.871556,0.925000,0.878071,0.955000,8.858398,119.780273
48590,0.871756,0.920000,0.877934,0.845000,8.858398,118.764648
48790,0.872016,0.935000,0.877428,0.755000,8.858398,139.581055
48990,0.872090,0.890000,0.877152,0.810000,8.858398,143.784180
49190,0.872367,0.940000,0.877204,0.890000,8.858398,132.690430
49390,0.872622,0.935000,0.877236,0.885000,8.858398,128.561523
49590,0.872773,0.910000,0.877328,0.900000,8.858398,142.448242
49790,0.873024,0.935000,0.877419,0.900000,8.858398,121.893555
49990,0.873173,0.910000,0.877309,0.850000,8.858398,116.202148
