id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],mean_acc_[MCCVM$_5$],current_acc_[MCCVM$_5$],mean_acc_[MCCVM$_{300}$],current_acc_[MCCVM$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{300}$],model_size_[MCCVM$_5$],model_size_[MCCVM$_{300}$]
24599,0.288443,0.295000,0.454016,0.445000,0.573607,0.550000,0.138730,0.160000,0.154590,0.125000,129.233398,163.577148,2499.432617,22.476562,87.886719
24799,0.288455,0.290000,0.453984,0.450000,0.572805,0.475000,0.138821,0.150000,0.154187,0.105000,129.233398,163.272461,2445.745117,22.476562,95.851562
24999,0.289395,0.405000,0.454476,0.515000,0.572419,0.525000,0.138508,0.100000,0.154234,0.160000,129.233398,163.913086,2528.280273,22.476562,102.835938
25199,0.290160,0.385000,0.454600,0.470000,0.572000,0.520000,0.138600,0.150000,0.154360,0.170000,129.233398,163.913086,2509.069336,22.476562,103.332031
25399,0.290992,0.395000,0.454484,0.440000,0.571944,0.565000,0.138373,0.110000,0.154246,0.140000,129.233398,162.936523,2449.213867,22.476562,74.187500
25599,0.291535,0.360000,0.454016,0.395000,0.571575,0.525000,0.138031,0.095000,0.154252,0.155000,129.233398,163.272461,2435.928711,22.476562,79.941406
25799,0.292617,0.430000,0.453828,0.430000,0.570820,0.475000,0.138125,0.150000,0.154414,0.175000,129.233398,163.577148,2448.616211,22.476562,90.996094
25999,0.293488,0.405000,0.453333,0.390000,0.570620,0.545000,0.137907,0.110000,0.154574,0.175000,129.233398,163.241211,2407.077148,22.132812,84.664062
26199,0.294000,0.360000,0.452769,0.380000,0.570808,0.595000,0.137846,0.130000,0.154385,0.130000,129.233398,163.577148,2411.213867,22.476562,90.195312
26399,0.294809,0.400000,0.453092,0.495000,0.571031,0.600000,0.137595,0.105000,0.154847,0.215000,129.233398,163.577148,2398.495117,22.476562,71.523438
26599,0.295492,0.385000,0.453371,0.490000,0.571553,0.640000,0.137727,0.155000,0.155568,0.250000,129.233398,163.577148,2437.518555,22.476562,102.195312
26799,0.295865,0.345000,0.453383,0.455000,0.571579,0.575000,0.137857,0.155000,0.155639,0.165000,129.233398,163.913086,2416.936523,22.476562,119.480469
26999,0.296418,0.370000,0.453134,0.420000,0.571604,0.575000,0.137948,0.150000,0.155560,0.145000,129.233398,163.272461,2321.151367,22.132812,80.160156
27199,0.296704,0.335000,0.453407,0.490000,0.571519,0.560000,0.137741,0.110000,0.155630,0.165000,129.233398,163.577148,2336.709961,22.476562,81.082031
27399,0.297390,0.390000,0.453456,0.460000,0.571765,0.605000,0.138015,0.175000,0.155735,0.170000,129.233398,163.577148,2344.737305,22.476562,82.890625
27599,0.297883,0.365000,0.453577,0.470000,0.571350,0.515000,0.138102,0.150000,0.155766,0.160000,129.233398,163.913086,2237.893555,22.476562,76.152344
27799,0.298370,0.365000,0.453587,0.455000,0.571775,0.630000,0.138297,0.165000,0.155435,0.110000,129.233398,163.913086,2247.694336,22.476562,116.808594
